Customer Key,Geography Key,First Name,Last Name,Full Name,Gender,Gender Role,Data First Purchase,Customer City
11069,23,Carolyn,Navarro,Carolyn Navarro,F,Female,2020-04-17,Gold Coast
11070,39,Willie,Raji,Willie Raji,M,Male,2020-04-28,Sunbury
11071,24,Linda,Serrano,Linda Serrano,F,Female,2022-03-01,Hawthorne
11072,17,Casey,Luo,Casey Luo,F,Female,2020-03-31,St. Leonards
11073,16,Amy,Ye,Amy Ye,F,Female,2022-03-23,Springwood
11074,28,Levi,Arun,Levi Arun,M,Male,2022-03-23,Cloverdale
11075,32,Felicia,Jimenez,Felicia Jimenez,F,Female,2020-04-28,Bendigo
11076,19,Blake,Anderson,Blake Anderson,M,Male,2020-04-21,Wollongong
11077,36,Leah,Ye,Leah Ye,F,Female,2020-04-15,Melton
11078,49,Gina,Martin,Gina Martin,F,Female,2022-02-15,Cliffside
11079,34,Donald,Gonzalez,Donald Gonzalez,M,Male,2022-03-15,Geelong
11080,30,Damien,Chander,Damien Chander,M,Male,2020-04-10,Perth
11081,311,Savannah,Baker,Savannah Baker,F,Female,2022-02-12,Concord
11082,322,Angela,Butler,Angela Butler,F,Female,2022-01-22,Fremont
11083,336,Alyssa,Cox,Alyssa Cox,F,Female,2022-01-06,Lincoln Acres
11084,543,Lucas,Phillips,Lucas Phillips,M,Male,2022-01-04,Lebanon
11085,345,Emily,Johnson,Emily Johnson,F,Female,2022-12-06,Newport Beach
11086,369,Ryan,Brown,Ryan Brown,M,Male,2022-07-02,Santa Monica
11087,307,Tamara,Liang,Tamara Liang,F,Female,2022-02-25,Chula Vista
11088,359,Hunter,Davis,Hunter Davis,M,Male,2022-01-13,San Diego
11089,337,Abigail,Price,Abigail Price,F,Female,2021-12-29,Long Beach
11090,338,Trevor,Bryant,Trevor Bryant,M,Male,2020-08-07,Los Angeles
11091,50,Dalton,Perez,Dalton Perez,M,Male,2022-01-29,Haney
11092,22,Cheryl,Diaz,Cheryl Diaz,F,Female,2020-04-08,East Brisbane
11093,19,Aimee,He,Aimee He,F,Female,2020-04-07,Wollongong
11094,33,Cedric,Ma,Cedric Ma,M,Male,2022-04-07,Cranbourne
11095,13,Chad,Kumar,Chad Kumar,M,Male,2020-04-01,Port Macquarie
11096,12,Andrés,Anand,Andrés Anand,M,Male,2020-04-11,North Sydney
11097,40,Edwin,Nara,Edwin Nara,M,Male,2020-04-04,Warrnambool
11098,14,Mallory,Rubio,Mallory Rubio,F,Female,2022-02-11,Rhodes
11099,13,Adam,Ross,Adam Ross,M,Male,2020-04-07,Port Macquarie
11100,28,Latasha,Navarro,Latasha Navarro,F,Female,2020-04-16,Cloverdale
11101,33,Abby,Sai,Abby Sai,F,Female,2020-04-29,Cranbourne
11102,18,Julia,Nelson,Julia Nelson,F,Female,2022-07-16,Sydney
11103,3,Cassie,Chande,Cassie Chande,F,Female,2020-04-15,Darlinghurst
11104,23,Edgar,Sara,Edgar Sara,M,Male,2020-05-04,Gold Coast
11105,8,Candace,Fernandez,Candace Fernandez,F,Female,2020-05-14,Matraville
11106,40,Jessie,Liu,Jessie Liu,M,Male,2020-05-18,Warrnambool
11107,17,Bianca,Lin,Bianca Lin,F,Female,2020-05-01,St. Leonards
11108,13,Kari,Alvarez,Kari Alvarez,F,Female,2020-05-03,Port Macquarie
11109,38,Ruben,Kapoor,Ruben Kapoor,M,Male,2020-05-10,South Melbourne
11110,3,Curtis,Yang,Curtis Yang,M,Male,2020-05-01,Darlinghurst
11111,34,Meredith,Gutierrez,Meredith Gutierrez,F,Female,2020-05-20,Geelong
11112,25,Crystal,Wang,Crystal Wang,F,Female,2020-05-25,Hervey Bay
11113,30,Micheal,Blanco,Micheal Blanco,M,Male,2022-02-01,Perth
11114,14,Leslie,Moreno,Leslie Moreno,F,Female,2022-03-18,Rhodes
11115,17,Alvin,Cai,Alvin Cai,M,Male,2022-02-10,St. Leonards
11116,18,Clinton,Carlson,Clinton Carlson,M,Male,2022-03-15,Sydney
11117,8,April,Deng,April Deng,F,Female,2020-05-06,Matraville
11118,6,Alvin,Zeng,Alvin Zeng,M,Male,2022-07-10,Lavender Bay
11119,13,Evan,James,Evan James,M,Male,2022-02-03,Port Macquarie
11120,18,Beth,Jiménez,Beth Jiménez,F,Female,2020-05-14,Sydney
11121,10,Orlando,Suarez,Orlando Suarez,M,Male,2022-06-24,Newcastle
11122,12,Byron,Vazquez,Byron Vazquez,M,Male,2022-02-21,North Sydney
11123,39,Philip,Alvarez,Philip Alvarez,M,Male,2022-04-17,Sunbury
11124,40,Ross,Jordan,Ross Jordan,M,Male,2020-05-05,Warrnambool
11125,37,Dana,Navarro,Dana Navarro,F,Female,2022-01-31,Seaford
11126,11,Shaun,Carson,Shaun Carson,M,Male,2020-05-28,North Ryde
11127,361,Jan,Edwards,Jan Edwards,F,Female,2022-04-10,San Gabriel
11128,635,Samantha,Long,Samantha Long,F,Female,2022-06-19,Renton
11129,638,Julia,Wright,Julia Wright,F,Female,2020-08-06,Sedro Woolley
11130,543,Caroline,Russell,Caroline Russell,F,Female,2022-12-09,Lebanon
11131,50,Amanda,Rivera,Amanda Rivera,F,Female,2022-10-18,Haney
11132,51,Melissa,Richardson,Melissa Richardson,F,Female,2022-04-09,Langford
11133,542,Angela,Griffin,Angela Griffin,F,Female,2022-12-30,Lake Oswego
11134,30,Larry,Townsend,Larry Townsend,M,Male,2020-05-03,Perth
11135,302,Marcus,Harris,Marcus Harris,M,Male,2022-04-18,Burlingame
11136,53,Brianna,Morgan,Brianna Morgan,F,Female,2022-01-03,Metchosin
11137,641,Jasmine,Taylor,Jasmine Taylor,F,Female,2022-07-31,Spokane
11138,325,Lauren,Davis,Lauren Davis,F,Female,2022-09-19,Glendale
11139,28,Tanya,Moreno,Tanya Moreno,F,Female,2022-09-14,Cloverdale
11140,301,Javier,Alvarez,Javier Alvarez,M,Male,2022-03-19,Burbank
11141,314,Nicole,Ramirez,Nicole Ramirez,F,Female,2022-05-16,Daly City
11142,51,Eduardo,Patterson,Eduardo Patterson,M,Male,2022-02-13,Langford
11143,334,Jonathan,Henderson,Jonathan Henderson,M,Male,2022-06-15,Lakewood
11144,607,Edward,Hernandez,Edward Hernandez,M,Male,2022-01-25,Ballard
11145,536,Jasmine,Coleman,Jasmine Coleman,F,Female,2022-01-25,Beaverton
11146,8,Karla,Goel,Karla Goel,F,Female,2022-02-05,Matraville
11147,40,Ernest,Wu,Ernest Wu,M,Male,2020-05-13,Warrnambool
11148,22,Ross,Vazquez,Ross Vazquez,M,Male,2022-03-07,East Brisbane
11149,25,Theodore,Gill,Theodore Gill,M,Male,2022-06-04,Hervey Bay
11150,39,Russell,Shen,Russell Shen,M,Male,2022-03-27,Sunbury
11151,18,Melinda,Gill,Melinda Gill,F,Female,2020-05-15,Sydney
11152,633,James,Williams,James Williams,M,Male,2022-01-09,Puyallup
11153,635,Angela,James,Angela James,F,Female,2022-03-29,Renton
11154,553,Megan,Walker,Megan Walker,F,Female,2022-01-10,Woodburn
11155,301,Hunter,Robinson,Hunter Robinson,M,Male,2022-01-06,Burbank
11156,334,Maria,Roberts,Maria Roberts,F,Female,2022-01-08,Lakewood
11157,642,Hannah,Long,Hannah Long,F,Female,2022-07-24,Tacoma
11158,361,Jason,Wright,Jason Wright,M,Male,2022-01-19,San Gabriel
11159,385,Brianna,Hughes,Brianna Hughes,F,Female,2022-09-08,Woodland Hills
11160,311,Maurice,Tang,Maurice Tang,M,Male,2022-02-21,Concord
11161,311,Emily,Wood,Emily Wood,F,Female,2022-06-01,Concord
11162,331,Chase,Cox,Chase Cox,M,Male,2022-02-18,La Jolla
11163,372,Gabriel,Wang,Gabriel Wang,M,Male,2022-05-01,Spring Valley
11164,374,Devin,Brooks,Devin Brooks,M,Male,2022-04-27,Torrance
11165,348,Jocelyn,Alexander,Jocelyn Alexander,F,Female,2022-05-25,Oakland
11166,631,Ashley,Martinez,Ashley Martinez,F,Female,2022-10-14,Olympia
11167,618,Jasmine,Barnes,Jasmine Barnes,F,Female,2022-01-07,Issaquah
11168,348,David,Rodriguez,David Rodriguez,M,Male,2022-01-15,Oakland
11169,312,Bryce,Richardson,Bryce Richardson,M,Male,2022-05-26,Coronado
11170,612,Carol,Howard,Carol Howard,F,Female,2022-08-26,Burien
11171,385,Jonathan,Hill,Jonathan Hill,M,Male,2020-08-20,Woodland Hills
11172,626,Gabrielle,Adams,Gabrielle Adams,F,Female,2022-05-03,Lynnwood
11173,552,Sarah,Thomas,Sarah Thomas,F,Female,2022-03-02,W. Linn
11174,338,Nicholas,Robinson,Nicholas Robinson,M,Male,2022-07-13,Los Angeles
11175,300,Luis,Wang,Luis Wang,M,Male,2020-08-28,Beverly Hills
11176,50,Mason,Roberts,Mason Roberts,M,Male,2022-02-02,Haney
11177,359,Jose,Flores,Jose Flores,M,Male,2022-03-29,San Diego
11178,334,Nathan,Johnson,Nathan Johnson,M,Male,2022-02-21,Lakewood
11179,300,Molly,Rodriguez,Molly Rodriguez,F,Female,2022-03-12,Beverly Hills
11180,307,April,Anand,April Anand,F,Female,2022-03-17,Chula Vista
11181,338,Devin,Martin,Devin Martin,M,Male,2022-05-07,Los Angeles
11182,638,Stephanie,Torres,Stephanie Torres,F,Female,2022-08-28,Sedro Woolley
11183,368,Jasmine,Lee,Jasmine Lee,F,Female,2022-04-30,Santa Cruz
11184,311,Meghan,Hernandez,Meghan Hernandez,F,Female,2022-08-10,Concord
11185,53,Ashley,Henderson,Ashley Henderson,F,Female,2022-02-21,Metchosin
11186,352,Sarah,Price,Sarah Price,F,Female,2022-10-18,Palo Alto
11187,612,Jennifer,Cooper,Jennifer Cooper,F,Female,2022-04-03,Burien
11188,361,Catherine,Morris,Catherine Morris,F,Female,2022-11-01,San Gabriel
11189,609,Lawrence,Blanco,Lawrence Blanco,M,Male,2020-08-26,Bellingham
11190,300,Carson,Bryant,Carson Bryant,M,Male,2022-08-28,Beverly Hills
11191,310,Kristi,Perez,Kristi Perez,F,Female,2020-08-11,Colma
11192,637,James,Brown,James Brown,M,Male,2022-06-23,Seattle
11193,553,Ian,Gray,Ian Gray,M,Male,2022-02-25,Woodburn
11194,352,Jacqueline,Price,Jacqueline Price,F,Female,2022-03-13,Palo Alto
11195,635,Megan,Henderson,Megan Henderson,F,Female,2022-04-14,Renton
11196,536,Alfredo,Romero,Alfredo Romero,M,Male,2022-03-03,Beaverton
11197,637,Andrea,Morris,Andrea Morris,F,Female,2022-05-02,Seattle
11198,368,Brooke,Sanders,Brooke Sanders,F,Female,2022-02-05,Santa Cruz
11199,302,Jacqueline,Bennett,Jacqueline Bennett,F,Female,2022-03-18,Burlingame
11200,69,Jason,Griffin,Jason Griffin,M,Male,2022-02-07,Victoria
11201,369,Amanda,Foster,Amanda Foster,F,Female,2022-07-01,Santa Monica
11202,334,Alexia,Price,Alexia Price,F,Female,2022-09-15,Lakewood
11203,60,Luis,Diaz,Luis Diaz,M,Male,2022-02-20,Port Hammond
11204,536,Destiny,Rivera,Destiny Rivera,F,Female,2022-08-09,Beaverton
11205,612,Abby,Fernandez,Abby Fernandez,F,Female,2022-07-27,Burien
11206,626,Blake,Flores,Blake Flores,M,Male,2022-05-11,Lynnwood
11207,635,Danielle,Cox,Danielle Cox,F,Female,2022-01-31,Renton
11208,325,Maria,Reed,Maria Reed,F,Female,2022-03-04,Glendale
11209,336,Allison,Evans,Allison Evans,F,Female,2022-03-25,Lincoln Acres
11210,383,Edward,Wood,Edward Wood,M,Male,2022-05-06,West Covina
11211,50,Samantha,Russell,Samantha Russell,F,Female,2022-02-01,Haney
11212,53,Chloe,Campbell,Chloe Campbell,F,Female,2022-01-30,Metchosin
11213,614,Stephanie,Murphy,Stephanie Murphy,F,Female,2022-03-28,Edmonds
11214,545,Charles,Miller,Charles Miller,M,Male,2022-08-14,Milwaukie
11215,62,Ana,Perry,Ana Perry,F,Female,2022-02-15,Royal Oak
11216,547,Jasmine,Torres,Jasmine Torres,F,Female,2020-08-15,Portland
11217,547,Natalie,Adams,Natalie Adams,F,Female,2020-08-10,Portland
11218,642,Olivia,Brown,Olivia Brown,F,Female,2022-02-28,Tacoma
11219,553,Charles,Cook,Charles Cook,M,Male,2022-10-29,Woodburn
11220,310,Erica,Huang,Erica Huang,F,Female,2022-03-14,Colma
11221,334,Nathan,Perry,Nathan Perry,M,Male,2022-04-07,Lakewood
11222,369,Alexandra,Rivera,Alexandra Rivera,F,Female,2022-11-01,Santa Monica
11223,52,Hailey,Patterson,Hailey Patterson,F,Female,2022-01-29,Langley
11224,612,Tiffany,Li,Tiffany Li,F,Female,2020-08-07,Burien
11225,635,Madison,Lee,Madison Lee,F,Female,2022-06-22,Renton
11226,552,Sydney,Ross,Sydney Ross,F,Female,2022-02-21,W. Linn
11227,310,Marshall,Chavez,Marshall Chavez,M,Male,2020-08-03,Colma
11228,316,Ashley,Jones,Ashley Jones,F,Female,2022-10-25,El Cajon
11229,355,Adrian,Stewart,Adrian Stewart,M,Male,2022-07-27,Redwood City
11230,369,Amber,Turner,Amber Turner,F,Female,2022-07-16,Santa Monica
11231,611,Dennis,Zhang,Dennis Zhang,M,Male,2022-02-10,Bremerton
11232,616,Hailey,Bryant,Hailey Bryant,F,Female,2022-09-20,Everett
11233,299,Todd,Li,Todd Li,M,Male,2022-02-08,Berkeley
11234,337,Anna,Griffin,Anna Griffin,F,Female,2022-02-08,Long Beach
11235,607,Angel,Stewart,Angel Stewart,M,Male,2022-07-04,Ballard
11236,609,Jeremy,Butler,Jeremy Butler,M,Male,2022-10-03,Bellingham
11237,161,Clarence,Anand,Clarence Anand,M,Male,2020-09-05,Solingen
11238,232,Mayra,Prasad,Mayra Prasad,F,Female,2020-01-06,Birmingham
11239,249,Latoya,Goel,Latoya Goel,F,Female,2020-01-19,London
11240,273,Anne,Hernandez,Anne Hernandez,F,Female,2020-02-27,Watford
11241,211,Lisa,Cai,Lisa Cai,F,Female,2021-09-10,Les Ulis
11242,209,Larry,Munoz,Larry Munoz,M,Male,2021-09-19,Versailles
11243,237,Robin,Alvarez,Robin Alvarez,F,Female,2020-02-21,Esher-Molesey
11244,267,Alexis,Coleman,Alexis Coleman,F,Female,2020-02-12,Runcorn
11245,132,Ricky,Vazquez,Ricky Vazquez,M,Male,2020-09-26,Hamburg
11246,147,Latasha,Rubio,Latasha Rubio,F,Female,2020-10-03,Hamburg
11247,242,Claudia,Zhou,Claudia Zhou,F,Female,2020-02-18,Lancaster
11248,223,Tristan,Alexander,Tristan Alexander,M,Male,2022-07-14,Saint-Denis
11249,178,Cindy,Patel,Cindy Patel,F,Female,2020-10-09,Sulzbach Taunus
11250,276,Shannon,Liu,Shannon Liu,F,Female,2020-03-17,Woolston
11251,50,Xavier,Long,Xavier Long,M,Male,2022-10-18,Haney
11252,335,Nicholas,Thompson,Nicholas Thompson,M,Male,2020-08-14,Lemon Grove
11253,69,José,Hernandez,José Hernandez,M,Male,2022-03-01,Victoria
11254,612,Johnathan,Vance,Johnathan Vance,M,Male,2022-11-23,Burien
11255,612,Colin,Lin,Colin Lin,M,Male,2022-02-23,Burien
11256,626,Katelyn,Hernandez,Katelyn Hernandez,F,Female,2022-04-15,Lynnwood
11257,345,Jacqueline,Powell,Jacqueline Powell,F,Female,2020-08-24,Newport Beach
11258,352,Xavier,Hill,Xavier Hill,M,Male,2022-05-21,Palo Alto
11259,548,Victoria,Stewart,Victoria Stewart,F,Female,2020-09-04,Salem
11260,302,Katelyn,Kelly,Katelyn Kelly,F,Female,2022-02-05,Burlingame
11261,359,Stephanie,Collins,Stephanie Collins,F,Female,2020-09-27,San Diego
11262,60,Jennifer,Simmons,Jennifer Simmons,F,Female,2022-02-27,Port Hammond
11263,612,Trinity,Richardson,Trinity Richardson,F,Female,2020-08-29,Burien
11264,618,Eduardo,Martin,Eduardo Martin,M,Male,2022-01-02,Issaquah
11265,623,Elizabeth,Jones,Elizabeth Jones,F,Female,2022-01-03,Kirkland
11266,632,Taylor,Howard,Taylor Howard,F,Female,2020-09-10,Port Orchard
11267,302,David,Diaz,David Diaz,M,Male,2020-09-17,Burlingame
11268,312,Katelyn,Carter,Katelyn Carter,F,Female,2022-05-29,Coronado
11269,314,Ryan,Foster,Ryan Foster,M,Male,2022-08-22,Daly City
11270,334,Robert,Lee,Robert Lee,M,Male,2020-09-10,Lakewood
11271,360,Danielle,Reed,Danielle Reed,F,Female,2020-09-27,San Francisco
11272,300,Lauren,Martinez,Lauren Martinez,F,Female,2020-09-19,Beverly Hills
11273,331,Nathan,Lal,Nathan Lal,M,Male,2022-05-14,La Jolla
11274,609,Kyle,Foster,Kyle Foster,M,Male,2020-08-29,Bellingham
11275,310,Jenny,Rai,Jenny Rai,F,Female,2020-08-30,Colma
11276,49,Nancy,Chapman,Nancy Chapman,F,Female,2022-01-29,Cliffside
11277,62,Charles,Jackson,Charles Jackson,M,Male,2022-02-02,Royal Oak
11278,614,Jonathan,Phillips,Jonathan Phillips,M,Male,2020-09-16,Edmonds
11279,616,Amanda,Cook,Amanda Cook,F,Female,2022-03-03,Everett
11280,626,Robert,Collins,Robert Collins,M,Male,2022-07-01,Lynnwood
11281,301,Megan,Barnes,Megan Barnes,F,Female,2020-09-13,Burbank
11282,612,Christian,Thomas,Christian Thomas,M,Male,2020-08-31,Burien
11283,299,Arturo,Lal,Arturo Lal,M,Male,2022-05-29,Berkeley
11284,307,Theresa,Serrano,Theresa Serrano,F,Female,2022-02-06,Chula Vista
11285,322,Jeremy,Anderson,Jeremy Anderson,M,Male,2022-07-27,Fremont
11286,374,Hunter,Griffin,Hunter Griffin,M,Male,2020-09-21,Torrance
11287,49,Henry,Garcia,Henry Garcia,M,Male,2022-01-29,Cliffside
11288,301,Cindy,Sanchez,Cindy Sanchez,F,Female,2022-03-05,Burbank
11289,315,Maria,Carter,Maria Carter,F,Female,2020-09-08,Downey
11290,334,Katelyn,Sanchez,Katelyn Sanchez,F,Female,2020-09-20,Lakewood
11291,335,Jenna,Wright,Jenna Wright,F,Female,2020-09-04,Lemon Grove
11292,361,Seth,Phillips,Seth Phillips,M,Male,2020-09-15,San Gabriel
11293,632,Luke,Long,Luke Long,M,Male,2022-02-24,Port Orchard
11294,618,Dalton,Clark,Dalton Clark,M,Male,2022-09-25,Issaquah
11295,311,Taylor,Lewis,Taylor Lewis,F,Female,2020-09-25,Concord
11296,616,Haley,Richardson,Haley Richardson,F,Female,2020-09-01,Everett
11297,301,Noah,Coleman,Noah Coleman,M,Male,2020-09-26,Burbank
11298,307,Jon,Luo,Jon Luo,M,Male,2020-09-12,Chula Vista
11299,301,Orlando,Vazquez,Orlando Vazquez,M,Male,2020-09-26,Burbank
11300,54,Fernando,Barnes,Fernando Barnes,M,Male,2022-01-31,N. Vancouver
11301,607,Cameron,Rodriguez,Cameron Rodriguez,M,Male,2022-06-09,Ballard
11302,539,Spencer,Russell,Spencer Russell,M,Male,2020-09-06,Corvallis
11303,614,Julia,Coleman,Julia Coleman,F,Female,2020-09-02,Edmonds
11304,547,Julia,Garcia,Julia Garcia,F,Female,2022-03-20,Portland
11305,307,Sean,Evans,Sean Evans,M,Male,2022-03-25,Chula Vista
11306,312,Micah,Zhou,Micah Zhou,M,Male,2022-06-30,Coronado
11307,314,Hunter,Rodriguez,Hunter Rodriguez,M,Male,2020-09-04,Daly City
11308,546,Ian,Gonzales,Ian Gonzales,M,Male,2022-09-07,Oregon City
11309,536,Victoria,Lewis,Victoria Lewis,F,Female,2022-07-09,Beaverton
11310,360,Erin,Sanders,Erin Sanders,F,Female,2022-08-12,San Francisco
11311,626,Gabrielle,Lopez,Gabrielle Lopez,F,Female,2022-04-18,Lynnwood
11312,626,Sara,Richardson,Sara Richardson,F,Female,2022-05-17,Lynnwood
11313,632,Trevor,Jenkins,Trevor Jenkins,M,Male,2022-05-07,Port Orchard
11314,618,Mya,Flores,Mya Flores,F,Female,2022-02-25,Issaquah
11315,632,Hailey,Ward,Hailey Ward,F,Female,2022-05-20,Port Orchard
11316,51,Luke,Allen,Luke Allen,M,Male,2022-01-12,Langford
11317,548,Victoria,Russell,Victoria Russell,F,Female,2020-09-01,Salem
11318,614,Jessica,Wilson,Jessica Wilson,F,Female,2022-10-17,Edmonds
11319,348,Jade,Bailey,Jade Bailey,F,Female,2020-09-09,Oakland
11320,325,Morgan,Hill,Morgan Hill,F,Female,2022-06-15,Glendale
11321,612,Terrance,Raman,Terrance Raman,M,Male,2022-02-23,Burien
11322,611,Sydney,Garcia,Sydney Garcia,F,Female,2022-03-24,Bremerton
11323,314,Jose,Patterson,Jose Patterson,M,Male,2020-09-10,Daly City
11324,325,Zachary,Anderson,Zachary Anderson,M,Male,2020-09-26,Glendale
11325,637,Elijah,Ross,Elijah Ross,M,Male,2020-09-19,Seattle
11326,300,Rafael,Xie,Rafael Xie,M,Male,2020-09-15,Beverly Hills
11327,301,Jaime,Moreno,Jaime Moreno,M,Male,2020-09-26,Burbank
11328,55,Julian,Griffin,Julian Griffin,M,Male,2022-01-05,Newton
11329,311,Andy,Alvarez,Andy Alvarez,M,Male,2020-09-25,Concord
11330,59,Ryan,Thompson,Ryan Thompson,M,Male,2022-02-12,Oak Bay
11331,63,Samantha,Jenkins,Samantha Jenkins,F,Female,2022-02-07,Shawnee
11332,153,Deanna,Ramos,Deanna Ramos,F,Female,2020-10-15,Berlin
11333,261,Emily,Miller,Emily Miller,F,Female,2020-03-21,Newcastle upon Tyne
11334,269,Nicole,Brown,Nicole Brown,F,Female,2020-03-04,Stoke-on-Trent
11335,120,Carla,Raman,Carla Raman,F,Female,2020-10-23,Hof
11336,204,Shaun,Raji,Shaun Raji,M,Male,2021-09-27,Paris
11337,273,Jerome,Romero,Jerome Romero,M,Male,2020-03-09,Watford
11338,154,Frank,Navarro,Frank Navarro,M,Male,2020-10-11,Bonn
11339,202,Dennis,She,Dennis She,M,Male,2021-10-07,Paris
11340,192,Melody,Munoz,Melody Munoz,F,Female,2021-10-27,Paris
11341,236,Randy,Zeng,Randy Zeng,M,Male,2020-04-11,Cheltenham
